1	The Gods of Evolution / Боги Эволюции	Персонаж получает знание (R5) о генетических технологиях Кабала — Терраформирующем и Эволюционном Двигателях (крафт 8000 успехов, разные тоннажи и радиусы воздействия) и о создании	packs-src\traits\Элитные_архетипы_Эльдар\Агент_Кабала\The_Gods_of_Evolution___Боги_Эволюции_jmsoxxTJg3GyACZV.json
2	Damned Actor / Проклятый Актёр	Персонаж не может стать целью для любого вида ритуала и игнорирует любые формы ритуалов и их последствия. Считается парией в расчёте эффектов против демонического воздействия и игн	packs-src\traits\Элитные_архетипы_Эльдар\Аребенниан\Damned_Actor___Проклятый_Акт_р_LyZ6ZMuFoZFCUXbI.json
3	Last Actor / Последний Актёр	Персонаж имеет A.b Реакций. Бросает шесть раз на инициативу. Может парировать атаки со свойством Flexible, как если бы они не имели этого свойства, и парировать атаки существ любог	packs-src\traits\Элитные_архетипы_Эльдар\Аребенниан\Last_Actor___Последний_Акт_р_v5HIF7EDrNzODjwu.json
4	Jack Of All Trades / И Швец, И Жнец, И На Игре Дудец	Мастер Труппы может подготовить Саэдат — сценарий представления: (1) исследовать событие/предысторию (крафт, неуменьшаемая смена 8 часов), (2) 8 часов и 2 теста Trade (Instructor)(	packs-src\traits\Элитные_архетипы_Эльдар\Атхаир\Jack_Of_All_Trades___И_Швец__И_Жнец__И_Н_cQk4VLhnZkmr3B1S.json
5	Right Behind You / Прямо За Тобой	Персонаж получает +I.b×5 на тесты саботажа или запугивания противника в глобальном плане (мифы, ложные приказы, взлом техники и т.п.). Пока персонаж активно действует в лагере прот	packs-src\traits\Элитные_архетипы_Эльдар\Атхистаур\Right_Behind_You___Прямо_За_Тобой_PCkUcizEr78V5YZl.json
6	Shadow Mask / Маска Тени	Персонаж получает +20 на все тесты Acrobatics, Awareness, Navigation (Surface), Scrutiny, Security, Sleight of Hand, Stealth и Survival вне боя. В голо-костюме не издаёт шума своим	packs-src\traits\Элитные_архетипы_Эльдар\Атхистаур\Shadow_Mask___Маска_Тени_iBfrOYT9yLV6oOFb.json
7	Athe-Ann / Лорд-Воин	Персонаж находится в перманентной, контролируемой им ярости, получая только её бонусы (без обычных минусов); ярость перестаёт быть контролируемой, если он выходит на поле битвы — т	packs-src\traits\Элитные_архетипы_Эльдар\Аутарх\Athe_Ann___Лорд_Воин_zwfmIHcCIxB6hGfH.json
8	Grand-Strategist / Гранд-Стратег	Персонаж получает +20 на тесты любых стратегических размышлений и попыток соединить связи между различными боями и миссиями. Если противник длительное время сражается против персон	packs-src\traits\Элитные_архетипы_Эльдар\Аутарх\Grand_Strategist___Гранд_Стратег_2cBeuwoNQFmHh2aZ.json
9	All Together! / Все Вместе!	Принимая боевые наркотики, персонаж может пройти тест W+0; при успехе он распространяет эффект принятого им наркотика на союзников в радиусе ½ F (окр.▼) метров, повторяя на них и э	packs-src\traits\Элитные_архетипы_Эльдар\Барон_Корсаров\All_Together____Все_Вместе__Z9F5oDyTBypSZSa7.json
10	Only the Worthy Ones! / Только Достойные!	Персонаж получает +10 на все социальные взаимодействия с преступным миром, повышающиеся до +15 при общении с другими корсарами, орксарами и пиратами. Он может форсировать победу на	packs-src\traits\Элитные_архетипы_Эльдар\Барон_Корсаров\Only_the_Worthy_Ones____Только_Достойные_4igqW9SuCy5MS5CG.json
